Субъект,Федеральный Округ,26.03,27.03,28.03,29.03,30.03,31.03,01.04,02.04,03.04,04.04,05.04,06.04,07.04,08.04,09.04,10.04,11.04,12.04,13.04,14.04,15.04,16.04,17.04,18.04,19.04,20.04,21.04,22.04,23.04,24.04,25.04,26.04,27.04,28.04,29.04,30.04,01.05,02.05,03.05,04.05,05.05,06.05,07.05,08.05,09.05,10.05,11.05,12.05,13.05,14.05,15.05,16.05,17.05,18.05,19.05,20.05,21.05,22.05,23.05,24.05,25.05,26.05,27.05,28.05,29.05,30.05,31.05,01.06,02.06,03.06,04.06,05.06,06.06,07.06,08.06,09.06,10.06,11.06,12.06
Республика Крым,Южный,0,0,0,0,0,0,0,1,1,1,3,6,6,6,7,7,7,12,12,12,12,14,14,21,22,22,22,23,23,29,29,29,29,29,34,35,35,38,38,39,39,40,44,44,57,64,64,64,81,86,89,103,106,106,113,122,126,130,152,153,153,164,181,196,217,229,229,229,247,259,285,298,308,314,317,330,338,350,357
Курганская Область,Уральский,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,4,4,4,4,9,11,11,11,11,16,19,22,24,29,33,33,35,37,38,40,43,43,44,46,52,54,58,60,68,72,79,80,85,92,94,105,115,118,134,144,148,153,158,180,183,200,200,208,212
Курская Область,Центральный,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,5,8,8,8,11,11,26,27,36,38,38,46,46,66,75,94,103,126,126,134,176,195,219,273,298,301,329,369,399,436,489,536,551,606,661,738,804,874,904,919,1024,1198,1204,1251,1339,1388,1400,1452,1513,1596,1668,1775,1802,1803,1858,1951,2045,2103
Ленинградская Область,Северо-Западный,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,5,5,5,9,9,9,9,9,24,36,56,56,56,80,105,115,115,126,170,188,220,258,266,330,366,393,423,450,466,502,558,593,641,653,697,728,803,845,898,973,1011,1026,1115,1186,1294,1402,1513,1561,1590,1674,1751,1829,2011,2139,2154,2221,2321,2434,2528,2578
Липецкая Область,Центральный,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,9,10,10,10,12,15,22,29,38,48,60,60,62,62,62,64,64,65,65,67,84,89,89,106,109,112,148,148,186,186,186,193,194,207,234,258,287,309,310,318,341,382,443,65,534,539,546,588,641,674,715,718,724,742,789,835,892,938,994,1018,1026,1092,1160,1210
Магаданская Область,Дальневосточный,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,34,34,35,56,56,57,67,68,73,83,87,90,97,98,101,105,109,112,127,131,134,140,143,146,151,155,163,173,183,186,187,199,201,203,206,207,208,211,213,216,217,220
Республика Марий Эл,Приволжский,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,5,5,8,8,24,24,24,24,46,46,46,46,46,46,46,81,274,304,332,373,397,416,444,458,508,537,589,594,623,648,696,758,809,860,861,864,910,959,989,1023,1069,1076,1079,1155,1217,1278,1326,1358,1370,1379,1445,1513,1582,1633,1699,1718,1727,1821,1917,1961,2026
Республика Мордовия,Приволжский,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5,5,10,11,13,18,18,36,36,36,49,72,86,94,97,98,121,140,145,160,197,216,237,237,252,312,350,357,412,418,434,463,478,493,531,542,542,553,568,636,738,777,799,827,898,954,1016,1064,1111,1123,1155,1191,1225,1297,1327
Москва,Центральный,15,18,18,28,28,70,115,140,168,194,198,206,222,270,313,350,499,687,837,1016,1205,1394,1517,1679,1763,1838,2057,2267,2448,2735,3047,3175,3524,4130,4610,5135,5766,6374,7029,7573,7870,8458,9227,10259,12779,13790,17822,19642,21506,23327,24562,26032,27490,28913,31496,36936,40682,43582,47413,49840,53586,61619,67458,71251,74725,78324,80179,82239,88269,91654,94715,97358,100431,102714,104347,109737,113533,115769,118024
Московская Область,Центральный,7,8,8,10,10,14,17,17,17,30,33,34,47,50,52,66,69,75,75,75,75,91,105,126,162,176,179,186,186,235,262,272,286,311,389,430,458,503,507,526,576,611,769,813,1030,1236,1389,1582,1745,1987,2468,2724,3088,3361,3614,3897,4281,4699,5163,5520,5908,6152,6440,6843,7333,7720,8091,8422,8809,9311,9877,10392,10924,11462,12031,12672,13419,14187,14955
Мурманская Область,Северо-Западный,0,0,0,0,0,1,1,1,1,1,1,1,1,2,5,5,6,10,10,10,14,15,21,27,28,28,32,56,61,64,70,71,73,88,98,98,113,116,12,154,154,161,186,234,257,270,291,312,357,448,489,737,1282,1288,1340,1425,1496,1595,1617,1627,1631,1656,1676,1728,1886,2034,2072,2081,2192,2375,2401,2427,2468,2477,2480,2535,2569,2633,2663
Ненецкий АО,Северо-Западный,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,7,7,7,7,7,7,7,7,7,10,10,10,10,12,12,12,12,12,12,15,15,15,15,16,16,16,17,20,26,32
Нижегородская Область,Приволжский,1,1,1,1,1,1,1,1,1,1,1,1,5,13,13,14,14,14,20,20,21,21,21,21,21,26,28,49,60,77,92,109,109,109,177,226,289,318,346,383,398,422,493,510,649,661,694,744,764,1085,1220,1323,1373,1410,1539,1637,1756,2006,2257,2398,2470,2652,2905,3244,3466,3637,3693,3747,3980,4252,4451,4612,4795,4837,4878,5696,5975,6219,6580
Новгородская Область,Северо-Западный,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,4,4,4,4,4,4,4,4,4,6,8,14,14,14,18,22,22,26,31,39,43,43,56,58,69,81,102,108,117,132,144,158,170,178,182,190,217,238,250,261,268,279,300,319,349,361,388,388,388,391,416,426,429,437,438,438,446,458,467,472
Новосибирская Область,Сибирский,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,8,10,10,10,10,11,14,14,16,16,16,16,20,23,24,24,39,39,53,63,78,80,105,119,150,179,184,240,262,306,307,314,338,404,455,526,610,638,666,692,730,773,826,882,891,891,892,902,955,1017,1089,1119,1129,1214,1235,1262,1306,1356,1369,1386,1455,1552,1791,1907
